Symbol,Description,Category?¡ø?,UniProt ID,GIFtS,GC id,Score,8.409
SNORA12,"Small Nucleolar RNA, H/ACA Box 12",RNA Gene (snoRNA),,15,GC10M100600,0.46,
UBXN1,UBX Domain Protein 1,Protein Coding,Q04323,44,GC11M139663,0.46,
DHRS1,Dehydrogenase/Reductase 1,Protein Coding,Q96LJ7,41,GC14M024290,0.45,
STAG1,STAG1 Cohesin Complex Component,Protein Coding,Q8WVM7,54,GC03M136336,0.45,
CNOT2,CCR4-NOT Transcription Complex Subunit 2,Protein Coding,Q9NZN8,51,GC12P075866,0.45,
CDC40,Cell Division Cycle 40,Protein Coding,O60508,50,GC06P110180,0.45,
SNRPG,Small Nuclear Ribonucleoprotein Polypeptide G,Protein Coding,P62308,48,GC02M070281,0.45,
PPWD1,Peptidylprolyl Isomerase Domain And WD Repeat Containing 1,Protein Coding,Q96BP3,45,GC05P065563,0.45,
SMG8,SMG8 Nonsense Mediated MRNA Decay Factor,Protein Coding,Q8ND04,45,GC17P059209,0.45,
ESF1,ESF1 Nucleolar Pre-RRNA Processing Protein Homolog,Protein Coding,Q9H501,42,GC20M013714,0.45,
MIR548O2,MicroRNA 548o-2,RNA Gene (miRNA),,17,GC20P038516,0.45,
MAPK4,Mitogen-Activated Protein Kinase 4,Protein Coding,P31152,50,GC18P050564,0.45,
ASH2L,"ASH2 Like, Histone Lysine Methyltransferase Complex Subunit",Protein Coding,Q9UBL3,54,GC08P044782,0.45,
CD48,CD48 Molecule,Protein Coding,P09326,52,GC01M167615,0.45,
HOMER3,Homer Scaffold Protein 3,Protein Coding,Q9NSC5,52,GC19M108414,0.45,
LILRB2,Leukocyte Immunoglobulin Like Receptor B2,Protein Coding,Q8N423,51,GC19M109258,0.45,
NR6A1,Nuclear Receptor Subfamily 6 Group A Member 1,Protein Coding,Q15406,51,GC09M124517,0.45,
EBAG9,Estrogen Receptor Binding Site Associated Antigen 9,Protein Coding,O00559,48,GC08P109562,0.45,
FBXW2,F-Box And WD Repeat Domain Containing 2,Protein Coding,Q9UKT8,47,GC09M120751,0.45,
CST1,Cystatin SN,Protein Coding,P01037,44,GC20M024209,0.45,
LMF2,Lipase Maturation Factor 2,Protein Coding,Q9BU23,43,GC22M050502,0.45,
WNT10A,Wnt Family Member 10A,Protein Coding,Q9GZT5,57,GC02P220461,0.45,
LUM,Lumican,Protein Coding,P51884,54,GC12M091102,0.45,
FYCO1,FYVE And Coiled-Coil Domain Autophagy Adaptor 1,Protein Coding,Q9BQS8,51,GC03M045917,0.45,
PCGF2,Polycomb Group Ring Finger 2,Protein Coding,P35227,51,GC17M038733,0.45,
TACC1,Transforming Acidic Coiled-Coil Containing Protein 1,Protein Coding,O75410,51,GC08P038728,0.45,
ITGB3BP,Integrin Subunit Beta 3 Binding Protein,Protein Coding,Q13352,50,GC01M063246,0.45,
MED27,Mediator Complex Subunit 27,Protein Coding,Q6P2C8,50,GC09M131872,0.45,
DOK3,Docking Protein 3,Protein Coding,Q7L591,45,GC05M177501,0.45,
KIF2B,Kinesin Family Member 2B,Protein Coding,Q8N4N8,44,GC17P053822,0.45,
PHRF1,PHD And Ring Finger Domains 1,Protein Coding,Q9P1Y6,44,GC11P020236,0.45,
STATH,Statherin,Protein Coding,P02808,41,GC04P069995,0.45,
PLEKHA2,Pleckstrin Homology Domain Containing A2,Protein Coding,Q9HB19,40,GC08P038901,0.45,
DHRS13,Dehydrogenase/Reductase 13,Protein Coding,Q6UX07,38,GC17M028897,0.45,
EDDM3A,Epididymal Protein 3A,Protein Coding,Q14507,34,GC14P057262,0.45,
MIR3148,MicroRNA 3148,RNA Gene (miRNA),,15,GC08M029957,0.45,
LOC108663996,TATA-Box Binding Protein Repeat Instability Region,Functional Element,,10,GC06P170561,0.45,
MORF4L1P2,Mortality Factor 4 Like 1 Pseudogene 2,Pseudogene,,5,GC12M012198,0.45,
MYT1L,Myelin Transcription Factor 1 Like,Protein Coding,Q9UL68,55,GC02M001789,0.45,
SLITRK2,SLIT And NTRK Like Family Member 2,Protein Coding,Q9H156,51,GC0XP145817,0.45,
SNX5,Sorting Nexin 5,Protein Coding,Q9Y5X3,52,GC20M019358,0.45,
MRPL15,Mitochondrial Ribosomal Protein L15,Protein Coding,Q9P015,45,GC08P054135,0.45,
MRPL47,Mitochondrial Ribosomal Protein L47,Protein Coding,Q9HD33,40,GC03M179588,0.45,
MIR6852,MicroRNA 6852,RNA Gene (miRNA),,8,GC09M035710,0.45,
BHMT2,Betaine--Homocysteine S-Methyltransferase 2,Protein Coding,Q9H2M3,54,GC05P083006,0.45,
SPAG11B,Sperm Associated Antigen 11B,Protein Coding,Q08648,36,GC08M007442,0.45,
SMARCD1,SWI/SNF Related BAF Chromatin Remodeling Complex Subunit D1,Protein Coding,Q96GM5,53,GC12P050085,0.45,
TDRD7,Tudor Domain Containing 7,Protein Coding,Q8NHU6,49,GC09P107128,0.45,
CBFA2T2,CBFA2/RUNX1 Partner Transcriptional Co-Repressor 2,Protein Coding,O43439,47,GC20P033490,0.45,
PHF10,PHD Finger Protein 10,Protein Coding,Q8WUB8,47,GC06M169679,0.45,
OSBPL3,Oxysterol Binding Protein Like 3,Protein Coding,Q9H4L5,46,GC07M024836,0.45,
CEP350,Centrosomal Protein 350,Protein Coding,Q5VT06,45,GC01P179955,0.45,
KANSL2,KAT8 Regulatory NSL Complex Subunit 2,Protein Coding,Q9H9L4,43,GC12M048653,0.45,
MAP9,Microtubule Associated Protein 9,Protein Coding,Q49MG5,41,GC04M155342,0.45,
ZFP30,ZFP30 Zinc Finger Protein,Protein Coding,Q9Y2G7,41,GC19M037613,0.45,
MIDEAS,Mitotic Deacetylase Associated SANT Domain Protein,Protein Coding,Q6PJG2,39,GC14M074188,0.45,
ZBTB44,Zinc Finger And BTB Domain Containing 44,Protein Coding,Q8NCP5,38,GC11M130226,0.45,
ZNF841,Zinc Finger Protein 841,Protein Coding,Q6ZN19,37,GC19M109187,0.45,
ZSCAN32,Zinc Finger And SCAN Domain Containing 32,Protein Coding,Q9NX65,36,GC16M049983,0.45,
TMEM30A,Transmembrane Protein 30A,Protein Coding,Q9NV96,50,GC06M075252,0.45,
TUBGCP6,Tubulin Gamma Complex Component 6,Protein Coding,Q96RT7,52,GC22M050217,0.45,
MPHOSPH8,M-Phase Phosphoprotein 8,Protein Coding,Q99549,47,GC13P019633,0.45,
TIMM8B,Translocase Of Inner Mitochondrial Membrane 8 Homolog B,Protein Coding,Q9Y5J9,47,GC11M112084,0.45,
TRIAP1,TP53 Regulated Inhibitor Of Apoptosis 1,Protein Coding,O43715,44,GC12M120443,0.45,
MADD,MAP Kinase Activating Death Domain,Protein Coding,Q8WXG6,57,GC11P049095,0.45,
MAPRE2,Microtubule Associated Protein RP/EB Family Member 2,Protein Coding,Q15555,53,GC18P034976,0.45,
XYLB,Xylulokinase,Protein Coding,O75191,48,GC03P038517,0.44,
COL17A1,Collagen Type XVII Alpha 1 Chain,Protein Coding,Q9UMD9,58,GC10M104031,0.44,
CFHR1,Complement Factor H Related 1,Protein Coding,Q03591,54,GC01P196822,0.44,
KLK5,Kallikrein Related Peptidase 5,Protein Coding,Q9Y337,54,GC19M050943,0.44,
KCNT2,Potassium Sodium-Activated Channel Subfamily T Member 2,Protein Coding,Q6UVM3,53,GC01M196225,0.44,
CAVIN4,Caveolae Associated Protein 4,Protein Coding,Q5BKX8,47,GC09P100576,0.44,
PLAAT4,Phospholipase A And Acyltransferase 4,Protein Coding,Q9UL19,45,GC11P107584,0.44,
PAPOLB,Poly(A) Polymerase Beta,Protein Coding,Q9NRJ5,43,GC07M004857,0.44,
MIR520A,MicroRNA 520a,RNA Gene (miRNA),,27,GC19P053690,0.44,
MIR3200,MicroRNA 3200,RNA Gene (miRNA),,24,GC22P030731,0.44,
MIR411,MicroRNA 411,RNA Gene (miRNA),,24,GC14P121377,0.44,
MIR619,MicroRNA 619,RNA Gene (miRNA),,24,GC12M108836,0.44,
MIR548D1,MicroRNA 548d-1,RNA Gene (miRNA),,16,GC08M123348,0.44,
B3GLCT,Beta 3-Glucosyltransferase,Protein Coding,Q6Y288,51,GC13P031275,0.44,
RNF181,Ring Finger Protein 181,Protein Coding,Q9P0P0,40,GC02P094484,0.44,
INSL5,Insulin Like 5,Protein Coding,Q9Y5Q6,39,GC01M066797,0.44,
ZC3HAV1L,ZC3HAV1 Like,Protein Coding,Q96H79,39,GC07M139025,0.44,
TMA16,Translation Machinery Associated 16 Homolog,Protein Coding,Q96EY4,35,GC04P163494,0.44,
B4GALT1,"Beta-1,4-Galactosyltransferase 1",Protein Coding,P15291,59,GC09M033100,0.43,
ITIH2,Inter-Alpha-Trypsin Inhibitor Heavy Chain 2,Protein Coding,P19823,52,GC10P007703,0.43,
MAST2,Microtubule Associated Serine/Threonine Kinase 2,Protein Coding,Q6P0Q8,50,GC01P045786,0.43,
IL17C,Interleukin 17C,Protein Coding,Q9P0M4,48,GC16P088638,0.43,
ZBED1,Zinc Finger BED-Type Containing 1,Protein Coding,O96006,44,GC0XM002486,0.43,
lnc-HLTF-5,,RNA Gene (lncRNA),,4,GC03M149173,0.43,
MCM3AP,Minichromosome Maintenance Complex Component 3 Associated Protein,Protein Coding,O60318,52,GC21M046235,0.43,
DACH1,Dachshund Family Transcription Factor 1,Protein Coding,Q9UI36,50,GC13M071437,0.43,
PATZ1,POZ/BTB And AT Hook Containing Zinc Finger 1,Protein Coding,Q9HBE1,50,GC22M031325,0.43,
SEC24A,"SEC24 Homolog A, COPII Coat Complex Component",Protein Coding,O95486,50,GC05P135113,0.43,
SH3RF1,SH3 Domain Containing Ring Finger 1,Protein Coding,Q7Z6J0,49,GC04M169094,0.43,
ATG2A,Autophagy Related 2A,Protein Coding,Q2TAZ0,48,GC11M139741,0.43,
BRMS1,BRMS1 Transcriptional Repressor And Anoikis Regulator,Protein Coding,Q9HCU9,48,GC11M139826,0.43,
CSTF2T,Cleavage Stimulation Factor Subunit 2 Tau Variant,Protein Coding,Q9H0L4,48,GC10M051695,0.43,
RTF1,"RTF1 Homolog, Paf1/RNA Polymerase II Complex Component",Protein Coding,Q92541,47,GC15P192898,0.43,
OSBPL11,Oxysterol Binding Protein Like 11,Protein Coding,Q9BXB4,46,GC03M125529,0.43,
ARL4A,ARF Like GTPase 4A,Protein Coding,P40617,45,GC07P019263,0.43,
PFDN1,Prefoldin Subunit 1,Protein Coding,O60925,45,GC05M140350,0.43,
POM121C,POM121 Transmembrane Nucleoporin C,Protein Coding,A8CG34,37,GC07M075416,0.43,
MIR1207,MicroRNA 1207,RNA Gene (miRNA),,25,GC08P128049,0.43,
LIVAR,Liver Cell Viability Associated LncRNA,RNA Gene (lncRNA),,16,GC18M070336,0.43,
EMSY,"EMSY Transcriptional Repressor, BRCA2 Interacting",Protein Coding,Q7Z589,50,GC11P108340,0.43,
LAMP3,Lysosomal Associated Membrane Protein 3,Protein Coding,Q9UQV4,50,GC03M183122,0.43,
CYTH1,Cytohesin 1,Protein Coding,Q15438,54,GC17M078674,0.43,
REEP2,Receptor Accessory Protein 2,Protein Coding,Q9BRK0,51,GC05P138439,0.43,
SYF2,SYF2 Pre-MRNA Splicing Factor,Protein Coding,O95926,41,GC01M025222,0.43,
GALNT14,Polypeptide N-Acetylgalactosaminyltransferase 14,Protein Coding,Q96FL9,50,GC02M030888,0.43,
MMP19,Matrix Metallopeptidase 19,Protein Coding,Q99542,60,GC12M055835,0.43,
LTBR,Lymphotoxin Beta Receptor,Protein Coding,P36941,53,GC12P006375,0.43,
VAMP3,Vesicle Associated Membrane Protein 3,Protein Coding,Q15836,52,GC01P075167,0.43,
METTL16,"Methyltransferase 16, RNA N6-Adenosine",Protein Coding,Q86W50,44,GC17M002405,0.43,
CYP2U1-AS1,CYP2U1 And SGMS2 Antisense RNA 1,RNA Gene (lncRNA),,19,GC04M107866,0.43,
MIR3129,MicroRNA 3129,RNA Gene (miRNA),,19,GC02M189133,0.43,
RGS7,Regulator Of G Protein Signaling 7,Protein Coding,P49802,51,GC01M240767,0.43,
FOXJ1,Forkhead Box J1,Protein Coding,Q92949,51,GC17M076136,0.43,
FBN3,Fibrillin 3,Protein Coding,Q75N90,50,GC19M008065,0.43,
PUS10,Pseudouridine Synthase 10,Protein Coding,Q3MIT2,48,GC02M060940,0.43,
LOC129934141,ATAC-STARR-Seq Lymphoblastoid Active Region 16073,Functional Element,,5,GC02P075567,0.43,
ENPEP,Glutamyl Aminopeptidase,Protein Coding,Q07075,58,GC04P110365,0.43,
ASMT,Acetylserotonin O-Methyltransferase,Protein Coding,P46597,51,GC0XP002912,0.43,
SPHKAP,"SPHK1 Interactor, AKAP Domain Containing",Protein Coding,Q2M3C7,39,GC02M227979,0.42,
MIR4286,MicroRNA 4286,RNA Gene (miRNA),,20,GC08P010666,0.42,
HOXA1,Homeobox A1,Protein Coding,P49639,54,GC07M027092,0.42,
CRYBA4,Crystallin Beta A4,Protein Coding,P53673,51,GC22P091823,0.42,
KPRP,Keratinocyte Proline Rich Protein,Protein Coding,Q5T749,44,GC01P176618,0.42,
EFNB1,Ephrin B1,Protein Coding,P98172,58,GC0XP068828,0.42,
RNASE2,Ribonuclease A Family Member 2,Protein Coding,P10153,52,GC14P057265,0.42,
SNX10,Sorting Nexin 10,Protein Coding,Q9Y5X0,51,GC07P026291,0.42,
DAP,Death Associated Protein,Protein Coding,P51397,50,GC05M010679,0.42,
UXT,Ubiquitously Expressed Prefoldin Like Chaperone,Protein Coding,Q9UBK9,47,GC0XM047651,0.42,
PLAC8,Placenta Associated 8,Protein Coding,Q9NZF1,42,GC04M083090,0.42,
RAB15,"RAB15, Member RAS Oncogene Family",Protein Coding,P59190,42,GC14M064945,0.42,
SLC35E1,Solute Carrier Family 35 Member E1,Protein Coding,Q96K37,42,GC19M016549,0.42,
MIR4651,MicroRNA 4651,RNA Gene (miRNA),,19,GC07P075915,0.41,
ALG12,"ALG12 Alpha-1,6-Mannosyltransferase",Protein Coding,Q9BV10,50,GC22M049859,0.41,
PLEKHA3,Pleckstrin Homology Domain Containing A3,Protein Coding,Q9HB20,47,GC02P178480,0.41,
DMAC2,Distal Membrane Arm Assembly Component 2,Protein Coding,Q9NW81,44,GC19M108772,0.41,
RABL2A,"RAB, Member Of RAS Oncogene Family Like 2A",Protein Coding,Q9UBK7,44,GC02P113627,0.41,
ZNF704,Zinc Finger Protein 704,Protein Coding,Q6ZNC4,42,GC08M080628,0.41,
RABL2B,"RAB, Member Of RAS Oncogene Family Like 2B",Protein Coding,Q9UNT1,41,GC22M050767,0.41,
PRPH2,Peripherin 2,Protein Coding,P23942,52,GC06M106712,0.41,
PKDCC,"Protein Kinase Domain Containing, Cytoplasmic",Protein Coding,Q504Y2,49,GC02P045146,0.41,
LCOR,Ligand Dependent Nuclear Receptor Corepressor,Protein Coding,Q96JN0,48,GC10P096832,0.41,
MYEF2,Myelin Expression Factor 2,Protein Coding,Q9P2K5,48,GC15M048134,0.41,
STRN3,Striatin 3,Protein Coding,Q13033,48,GC14M030893,0.41,
SPCS3,Signal Peptidase Complex Subunit 3,Protein Coding,P61009,47,GC04P176319,0.41,
NLE1,Notchless Homolog 1,Protein Coding,Q9NVX2,46,GC17M035128,0.41,
NUFIP1,Nuclear FMR1 Interacting Protein 1,Protein Coding,Q9UHK0,46,GC13M044939,0.41,
ASCC2,Activating Signal Cointegrator 1 Complex Subunit 2,Protein Coding,Q9H1I8,45,GC22M029788,0.41,
FAM111B,FAM111 Trypsin Like Peptidase B,Protein Coding,Q6SJ93,45,GC11P059107,0.41,
RPP40,Ribonuclease P/MRP Subunit P40,Protein Coding,O75818,44,GC06M004994,0.41,
VPS37C,VPS37C Subunit Of ESCRT-I,Protein Coding,A5D8V6,43,GC11M061130,0.41,
FAM83B,Family With Sequence Similarity 83 Member B,Protein Coding,Q5T0W9,42,GC06P054846,0.41,
ZCCHC24,Zinc Finger CCHC-Type Containing 24,Protein Coding,Q8N2G6,39,GC10M079382,0.41,
RBMXL1,RBMX Like 1,Protein Coding,Q96E39,37,GC01M088979,0.41,
MRPL41,Mitochondrial Ribosomal Protein L41,Protein Coding,Q8IXM3,39,GC09P137551,0.41,
PI4KB,Phosphatidylinositol 4-Kinase Beta,Protein Coding,Q9UBF8,57,GC01M151291,0.41,
FRG1,FSHD Region Gene 1,Protein Coding,Q14331,52,GC04P189940,0.41,
UBFD1,Ubiquitin Family Domain Containing 1,Protein Coding,O14562,42,GC16P023557,0.41,
LASP1,LIM And SH3 Protein 1,Protein Coding,Q14847,53,GC17P038869,0.41,
ABO,"ABO, Alpha 1-3-N-Acetylgalactosaminyltransferase And Alpha 1-3-Galactosyltransferase",Protein Coding,P16442,49,GC09M133250,0.4,
EML4,EMAP Like 4,Protein Coding,Q9HC35,52,GC02P042169,0.4,
LINGO1,Leucine Rich Repeat And Ig Domain Containing 1,Protein Coding,Q96FE5,58,GC15M077613,0.4,
CLCNKB,Chloride Voltage-Gated Channel Kb,Protein Coding,P51801,55,GC01P075684,0.4,
SLC44A2,Solute Carrier Family 44 Member 2 (CTL2 Blood Group),Protein Coding,Q8IWA5,52,GC19P010602,0.4,
OLFM1,Olfactomedin 1,Protein Coding,Q99784,51,GC09P135075,0.4,
ENSG00000243902,Extracellular Leucine Rich Repeat And Fibronectin Type III Domain Containing 2,RNA Gene (lncRNA),,12,GC22M086133,0.4,
ERBIN,Erbb2 Interacting Protein,Protein Coding,Q96RT1,51,GC05P065884,0.4,
RAP1GAP,RAP1 GTPase Activating Protein,Protein Coding,P47736,49,GC01M021596,0.4,
USF2,"Upstream Transcription Factor 2, C-Fos Interacting",Protein Coding,Q15853,51,GC19P035268,0.4,
SNHG29,Small Nucleolar RNA Host Gene 29,RNA Gene (lncRNA),,31,GC17P153989,0.4,
MIR196A2,MicroRNA 196a-2,RNA Gene (miRNA),,30,GC12P075326,0.4,
TNKS2,Tankyrase 2,Protein Coding,Q9H2K2,57,GC10P091798,0.39,
CEACAM4,CEA Cell Adhesion Molecule 4,Protein Coding,O75871,46,GC19M108778,0.39,
PARP11,Poly(ADP-Ribose) Polymerase Family Member 11,Protein Coding,Q9NR21,40,GC12M035586,0.39,
GRHL2,Grainyhead Like Transcription Factor 2,Protein Coding,Q6ISB3,52,GC08P101492,0.39,
CBLC,Cbl Proto-Oncogene C,Protein Coding,Q9ULV8,50,GC19P044777,0.39,
SNRK,SNF Related Kinase,Protein Coding,Q9NRH2,47,GC03P044246,0.39,
CBR3-AS1,CBR3 Antisense RNA 1,RNA Gene (lncRNA),,27,GC21M036090,0.39,
RNU6-2,"RNA, U6 Small Nuclear 2",RNA Gene (snRNA),,16,GC19P151372,0.39,
FBXO3,F-Box Protein 3,Protein Coding,Q9UK99,50,GC11M033740,0.39,
TBR1,T-Box Brain Transcription Factor 1,Protein Coding,Q16650,54,GC02P161416,0.39,
BET1,Bet1 Golgi Vesicular Membrane Trafficking Protein,Protein Coding,O15155,50,GC07M093962,0.39,
AGPAT4,1-Acylglycerol-3-Phosphate O-Acyltransferase 4,Protein Coding,Q9NRZ5,48,GC06M161129,0.39,
CDCA5,Cell Division Cycle Associated 5,Protein Coding,Q96FF9,48,GC11M139753,0.39,
FFAR3,Free Fatty Acid Receptor 3,Protein Coding,O14843,48,GC19P153610,0.39,
HSDL1,Hydroxysteroid Dehydrogenase Like 1,Protein Coding,Q3SXM5,43,GC16M084123,0.39,
TM9SF2,Transmembrane 9 Superfamily Member 2,Protein Coding,Q99805,43,GC13P099446,0.39,
ANKRD54,Ankyrin Repeat Domain 54,Protein Coding,Q6NXT1,41,GC22M086293,0.39,
PCDHGA6,"Protocadherin Gamma Subfamily A, 6",Protein Coding,Q9Y5G7,41,GC05P159091,0.39,
MFSD3,Major Facilitator Superfamily Domain Containing 3,Protein Coding,Q96ES6,40,GC08P144509,0.39,
RNF141,Ring Finger Protein 141,Protein Coding,Q8WVD5,40,GC11M015417,0.39,
CCNYL2,Cyclin Y Like 2 (Pseudogene),Pseudogene,Q5T2Q4,21,GC10M042733,0.39,
P4HA3,Prolyl 4-Hydroxylase Subunit Alpha 3,Protein Coding,Q7Z4N8,45,GC11M074235,0.39,
UHRF2,Ubiquitin Like With PHD And Ring Finger Domains 2,Protein Coding,Q96PU4,45,GC09P006413,0.39,
SEMA7A,Semaphorin 7A (JohnMiltonHagen Blood Group),Protein Coding,O75326,56,GC15M074409,0.39,
SPATS2,Spermatogenesis Associated Serine Rich 2,Protein Coding,Q86XZ4,42,GC12P049366,0.39,
EZH1,Enhancer Of Zeste 1 Polycomb Repressive Complex 2 Subunit,Protein Coding,Q92800,57,GC17M042700,0.39,
CNTN4,Contactin 4,Protein Coding,Q8IWV2,53,GC03P002117,0.39,
DAZL,Deleted In Azoospermia Like,Protein Coding,Q92904,52,GC03M016586,0.39,
SPEN,Spen Family Transcriptional Repressor,Protein Coding,Q96T58,52,GC01P075658,0.39,
RGS12,Regulator Of G Protein Signaling 12,Protein Coding,O14924,50,GC04P029580,0.39,
DNAAF4,Dynein Axonemal Assembly Factor 4,Protein Coding,Q8WXU2,48,GC15M163366,0.39,
FMNL2,Formin Like 2,Protein Coding,Q96PY5,48,GC02P152335,0.39,
CAMSAP1,Calmodulin Regulated Spectrin Associated Protein 1,Protein Coding,Q5T5Y3,47,GC09M135808,0.39,
WDR41,WD Repeat Domain 41,Protein Coding,Q9HAD4,46,GC05M077425,0.39,
KBTBD8,Kelch Repeat And BTB Domain Containing 8,Protein Coding,Q8NFY9,45,GC03P066998,0.39,
DEPDC1B,DEP Domain Containing 1B,Protein Coding,Q8WUY9,44,GC05M060596,0.39,
GEMIN7,Gem Nuclear Organelle Associated Protein 7,Protein Coding,Q9H840,44,GC19P045075,0.39,
UTP23,UTP23 Small Subunit Processome Component,Protein Coding,Q9BRU9,44,GC08P117071,0.39,
PEF1,Penta-EF-Hand Domain Containing 1,Protein Coding,Q9UBV8,43,GC01M034936,0.39,
PRDM10,PR/SET Domain 10,Protein Coding,Q9NQV6,43,GC11M129899,0.39,
CCDC85C,Coiled-Coil Domain Containing 85C,Protein Coding,A6NKD9,42,GC14M099500,0.39,
HAUS4,HAUS Augmin Like Complex Subunit 4,Protein Coding,Q9H6D7,41,GC14M028760,0.39,
TRIM59,Tripartite Motif Containing 59,Protein Coding,Q8IWR1,41,GC03M160432,0.39,
ZBTB39,Zinc Finger And BTB Domain Containing 39,Protein Coding,O15060,41,GC12M056998,0.39,
SREK1IP1,SREK1 Interacting Protein 1,Protein Coding,Q8N9Q2,38,GC05M064718,0.39,
ZNF561,Zinc Finger Protein 561,Protein Coding,Q8N587,36,GC19M108078,0.39,
SOSTDC1,Sclerostin Domain Containing 1,Protein Coding,Q6X4U4,52,GC07M016467,0.38,
BRF1,BRF1 General Transcription Factor IIIB Subunit,Protein Coding,Q92994,53,GC14M124458,0.38,
EPB41L5,Erythrocyte Membrane Protein Band 4.1 Like 5,Protein Coding,Q9HCM4,41,GC02P120013,0.38,
MIR4668,MicroRNA 4668,RNA Gene (miRNA),,19,GC09P111932,0.38,
CLDN7,Claudin 7,Protein Coding,O95471,53,GC17M007259,0.38,
FBXO5,F-Box Protein 5,Protein Coding,Q9UKT4,47,GC06M152970,0.38,
RADX,"RPA1 Related Single Stranded DNA Binding Protein, X-Linked",Protein Coding,Q6NSI4,42,GC0XP106612,0.38,
ABRA,Actin Binding Rho Activating Protein,Protein Coding,Q8N0Z2,44,GC08M106759,0.38,
MMP11,Matrix Metallopeptidase 11,Protein Coding,P24347,56,GC22P023768,0.38,
MFHAS1,Multifunctional ROCO Family Signaling Regulator 1,Protein Coding,Q9Y4C4,48,GC08M008783,0.38,
CYB561A3,Cytochrome B561 Family Member A3,Protein Coding,Q8NBI2,41,GC11M061348,0.38,
IGKV4-1,Immunoglobulin Kappa Variable 4-1,Protein Coding,P06312,24,GC02P088885,0.38,
TNFSF8,TNF Superfamily Member 8,Protein Coding,P32971,47,GC09M114893,0.38,
RPAIN,RPA Interacting Protein,Protein Coding,Q86UA6,42,GC17P005419,0.38,
SAT2,Spermidine/Spermine N1-Acetyltransferase Family Member 2,Protein Coding,Q96F10,44,GC17M007626,0.38,
APOC4,Apolipoprotein C4,Protein Coding,P55056,45,GC19P152700,0.38,
LILRB1,Leukocyte Immunoglobulin Like Receptor B1,Protein Coding,Q8NHL6,54,GC19P153109,0.37,
HMCN1,Hemicentin 1,Protein Coding,Q96RW7,50,GC01P185734,0.37,
TRIM6,Tripartite Motif Containing 6,Protein Coding,Q9C030,43,GC11P005596,0.37,
COMTD1,Catechol-O-Methyltransferase Domain Containing 1,Protein Coding,Q86VU5,42,GC10M075233,0.37,
C19orf53,Chromosome 19 Open Reading Frame 53,Protein Coding,Q9UNZ5,39,GC19P013774,0.37,
RDH14,Retinol Dehydrogenase 14,Protein Coding,Q9HBH5,47,GC02M018555,0.37,
NRXN2,Neurexin 2,Protein Coding,Q9P2S2,53,GC11M139728,0.37,
CLRN3,Clarin 3,Protein Coding,Q8NCR9,45,GC10M127877,0.37,
HHIPL2,HHIP Like 2,Protein Coding,Q6UWX4,41,GC01M222522,0.37,
ZSCAN10,Zinc Finger And SCAN Domain Containing 10,Protein Coding,Q96SZ4,41,GC16M049948,0.37,
OR6A2,Olfactory Receptor Family 6 Subfamily A Member 2,Protein Coding,O95222,38,GC11M015326,0.37,
PSG7,Pregnancy Specific Beta-1-Glycoprotein 7,Protein Coding,Q13046,38,GC19M108816,0.37,
FOXR2,Forkhead Box R2,Protein Coding,Q6PJQ5,37,GC0XP055623,0.37,
EDDM3B,Epididymal Protein 3B,Protein Coding,P56851,33,GC14P020768,0.37,
UBOX5-AS1,UBOX5 Antisense RNA 1,RNA Gene (lncRNA),,19,GC20P003106,0.37,
NAPA-AS1,NAPA Antisense RNA 1,RNA Gene (lncRNA),,18,GC19P047484,0.37,
NPM1P14,Nucleophosmin 1 Pseudogene 14,Pseudogene,,10,GC07P112520,0.37,
TRIP10,Thyroid Hormone Receptor Interactor 10,Protein Coding,Q15642,50,GC19P006737,0.37,
RAB13,"RAB13, Member RAS Oncogene Family",Protein Coding,P51153,47,GC01M153981,0.37,
RAET1E,Retinoic Acid Early Transcript 1E,Protein Coding,Q8TD07,44,GC06M149883,0.37,
LOC130060903,ATAC-STARR-Seq Lymphoblastoid Silent Region 8533,Functional Element,,7,GC17P161921,0.37,
MIR129-2,MicroRNA 129-2,RNA Gene (miRNA),,28,GC11P044209,0.37,
AXIN2,Axin 2,Protein Coding,Q9Y2T1,62,GC17M065528,0.36,
DOCK6,Dedicator Of Cytokinesis 6,Protein Coding,Q96HP0,57,GC19M011199,0.36,
CDH17,Cadherin 17,Protein Coding,Q12864,56,GC08M094127,0.36,
ONECUT1,One Cut Homeobox 1,Protein Coding,Q9UBC0,53,GC15M162469,0.36,
KIR2DL3,"Killer Cell Immunoglobulin Like Receptor, Two Ig Domains And Long Cytoplasmic Tail 3",Protein Coding,P43628,48,GC19P154056,0.36,
SLC2A11,Solute Carrier Family 2 Member 11,Protein Coding,Q9BYW1,46,GC22P023856,0.36,
CABP2,Calcium Binding Protein 2,Protein Coding,Q9NPB3,42,GC11M139877,0.36,
SPINK9,Serine Peptidase Inhibitor Kazal Type 9,Protein Coding,Q5DT21,36,GC05P148321,0.36,
MIR877,MicroRNA 877,RNA Gene (miRNA),,28,GC06P030584,0.36,
MIR576,MicroRNA 576,RNA Gene (miRNA),,24,GC04P109488,0.36,
MIR219A2,MicroRNA 219a-2,RNA Gene (miRNA),,21,GC09M131866,0.36,
SEMA4D,Semaphorin 4D,Protein Coding,Q92854,58,GC09M089360,0.36,
PANK3,Pantothenate Kinase 3,Protein Coding,Q9H999,49,GC05M168549,0.36,
