NAME	TITLE	SCORE	
CYP2U1	CYP2U1	0.18521746	
TMC4	TMC4	0.18517391	
GTSF1	GTSF1	0.18512447	
PRODH	PRODH	0.18482439	
KRT7	KRT7	0.18479764	
SNAI2	SNAI2	0.1847854	
OCIAD2	OCIAD2	0.18435068	
DYNC1I1	DYNC1I1	0.18425731	
MMP26	MMP26	0.18418826	
TSPAN13	TSPAN13	0.18352944	
LIFR	LIFR	0.1834658	
FOSB	FOSB	0.18254356	
CNKSR3	CNKSR3	0.18245855	
SLC30A2	SLC30A2	0.18214598	
HLA-DQB1	HLA-DQB1	0.18214421	
SPATC1L	SPATC1L	0.1819851	
PDE1A	PDE1A	0.18188895	
THBS1	THBS1	0.18119748	
LOC101928433	LOC101928433	0.18114781	
NKX3-1	NKX3-1	0.18090515	
MAG	MAG	0.18066779	
NPNT	NPNT	0.18063925	
FNDC1	FNDC1	0.1804471	
SCNN1G	SCNN1G	0.1803139	
COL3A1	COL3A1	0.18011104	
TPM1	TPM1	0.17997961	
TRIM64	TRIM64	0.17993502	
ADGRA2	ADGRA2	0.17985463	
ST6GALNAC1	ST6GALNAC1	0.17959093	
SPRR2G	SPRR2G	0.17945807	
PLOD2	PLOD2	0.1789592	
SLITRK4	SLITRK4	0.17881487	
KLHL30	KLHL30	0.17871468	
COL12A1	COL12A1	0.17870161	
PPP1R12B	PPP1R12B	0.17824605	
PSG11	PSG11	0.1781067	
EMX2	EMX2	0.17806487	
RDH5	RDH5	0.17771956	
SLMAP	SLMAP	0.17724533	
MSC	MSC	0.17699201	
NRP2	NRP2	0.176899	
ACTG2	ACTG2	0.17682387	
THRA	THRA	0.17646448	
COL1A2	COL1A2	0.17611235	
PSD	PSD	0.176081	
SERTAD4	SERTAD4	0.17563987	
ASPA	ASPA	0.17558193	
RBM24	RBM24	0.1754685	
CCNYL1	CCNYL1	0.17543264	
IL1RAP	IL1RAP	0.17514151	
HADH	HADH	0.17506485	
MUC1	MUC1	0.17485549	
COCH	COCH	0.17477207	
MICALL1	MICALL1	0.17454366	
SHROOM3	SHROOM3	0.17433701	
NUDT11	NUDT11	0.17421903	
PGF	PGF	0.17396192	
KBTBD11	KBTBD11	0.17377631	
NR2F1	NR2F1	0.17372118	
PLEKHG6	PLEKHG6	0.17353056	
CDCA7L	CDCA7L	0.17291781	
TCFL5	TCFL5	0.1728222	
CYP1B1	CYP1B1	0.17257643	
APOBEC2	APOBEC2	0.172557	
PDLIM4	PDLIM4	0.17247666	
DNAJB4	DNAJB4	0.17225525	
MYH2	MYH2	0.17186232	
SOD3	SOD3	0.17171352	
EPHA4	EPHA4	0.17094053	
SLC12A2	SLC12A2	0.17092055	
TC2N	TC2N	0.17068218	
PRSS53	PRSS53	0.17022428	
TPM4	TPM4	0.1699415	
SLC3A1	SLC3A1	0.16955122	
RASGRF2	RASGRF2	0.16953237	
TPSAB1	TPSAB1	0.16948368	
FAXC	FAXC	0.16946958	
EEF1A2	EEF1A2	0.16935387	
LPP	LPP	0.16901064	
ITGA7	ITGA7	0.16890177	
CDH3	CDH3	0.16885991	
ARHGEF25	ARHGEF25	0.16880958	
STK38L	STK38L	0.16874793	
HSD17B6	HSD17B6	0.1684707	
PDE6H	PDE6H	0.16835941	
FAM83D	FAM83D	0.1681665	
TMEM64	TMEM64	0.16813065	
SNX7	SNX7	0.16799437	
TNNI2	TNNI2	0.16768853	
CTXN1	CTXN1	0.16735645	
NFIX	NFIX	0.1670625	
ADAM33	ADAM33	0.16704044	
C3orf36	C3orf36	0.16696677	
TFF3	TFF3	0.16690183	
TGFB3	TGFB3	0.16679354	
LY6D	LY6D	0.16649812	
GRAMD2	GRAMD2	0.16647357	
BVES	BVES	0.1664151	
